"内部序号","分组一","分组二","分组三","分组四","分组五","类型","测量量程最小值","测量量程最大值","单位","断线上限","断线下限","设定上限","设定下限","阶码","报警方式","报警级别","报警延时","参数补偿编号","回差值","曲线编号","多点编号","网关IP","系统编号","分系统编号","站名称","站ID","IO模块类型","IO模块ID","点号","1/0有效","满量程上限","满量程下限","滤波标志","滤波次数","平均值处理标志","精度","斜率参数(A)","偏移参数(B)","刷新时间","A/D增益值","使用","开关状态","有报警","折线编号","1级报警","2级报警","3级报警","网关显示","参数类别","封装盒","选择","特殊ID标识","平均值与限值标志","OPC标志","安全标志","备份1","备份2","备份3","备份4","备份5","局域网","vdr","导航","备份6","备份7","备份8","备份9","备份10","测点名称","测点名称_en","简称","简称_tmp","测点号"
298,1,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","2",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",2,3,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"2",1,298,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机高温水柴油机出口高温停机",,"左机高温水出口高温停机",,"0135"
299,1,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+00,"bar",,,0.00000000e+00,4.00000006e-01,"1","0","0",5.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",2,4,"-1",6.00000000e+00,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机低温水压力",,"左主机低温水压力",,"0136"
300,0,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",2,5,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机低温水空冷器进口温度",,"左主机低温水空冷器进口温",,"0137"
301,0,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",2,6,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机低温水空冷器出口温度",,"左主机低温水空冷器出口温",,"0138"
486,1,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,4.50000000e+02,0.00000000e+00,"0","0","1",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,24,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机增压器出口排气温度",,"右主机增压器出口排气温度",,"0224"
487,1,0,0,0,0,"4-20mA输入",0.00000000e+00,1.60000000e+01,"bar",,,8.00000012e-01,0.00000000e+00,"1","0","0",2.00000000e+01,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,25,"-1",1.60000000e+01,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机燃油滤器压差高",,"右主机燃油滤器压差高",,"0225"
488,1,0,0,0,0,"4-20mA输入",0.00000000e+00,1.60000000e+01,"bar",,,0.00000000e+00,1.00000000e+00,"1","0","0",5.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,26,"-1",1.60000000e+01,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机燃油进机压力",,"右主机燃油进机压力",,"0226"
489,0,0,0,0,0,"4-20mA输入",0.00000000e+00,1.60000000e+01,"bar",,,0.00000000e+00,0.00000000e+00,"1","-1","-1",,,,,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,27,"-1",1.60000000e+01,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"右主机燃油进滤器压力",,"右主机燃油进滤器压力",,"0227"
490,0,0,0,0,0,"4-20mA输入",0.00000000e+00,2.50000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,28,"-1",2.50000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"右主机燃油温度",,"右主机燃油温度",,"0228"
491,1,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,29,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,491,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机高压油管泄露",,"右主机高压油管泄露",,"0229"
492,1,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+00,"bar",,,0.00000000e+00,4.00000006e-01,"1","0","1",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,30,"-1",6.00000000e+00,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机高温水压力",,"右主机高温水压力",,"0230"
493,1,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","2",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,31,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"2",1,493,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机高温水压力过低停机",,"右主机高温水压力过低停机",,"0231"
494,0,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"2#串口",5,"HT-9981 串口1模块",1,32,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"右主机高温水空冷器进口温度",,"右主机高温水空冷器进口温",,"0232"
495,0,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"2#串口",5,"HT-9981 串口1模块",2,1,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"右主机高温水柴油机进口温度",,"右主机高温水柴油机进口温",,"0233"
496,1,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,9.20000000e+01,0.00000000e+00,"0","0","1",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",2,2,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机高温水柴油机出口温度",,"右主机高温水柴油机出口温",,"0234"
497,1,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","2",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",2,3,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"2",1,497,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机高温水柴油机出口高温停机",,"右机高温水出口高温停机",,"0235"
498,1,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+00,"bar",,,0.00000000e+00,4.00000006e-01,"1","0","0",5.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9981 串口1模块",2,4,"-1",6.00000000e+00,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右主机低温水压力",,"右主机低温水压力",,"0236"
670,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,30,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"5",0,670,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"右机缸套水预加热器运行",,"右机缸套水预加热器运行",,"1426A"
671,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",2,30,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"5",0,671,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"舵机2号泵运行指示",,"舵机2号泵运行指示",,"1939"
672,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+00,"bar",,,0.00000000e+00,1.50000000e+00,"2","0","0",5.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0301 模拟量输入模块",4,14,"-1",2.00000000e+01,4.00000000e+00,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号主海水泵出口压力",,"1号主海水泵出口压力",,"1208"
673,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+00,"bar",,,0.00000000e+00,1.50000000e+00,"2","0","0",5.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0301 模拟量输入模块",4,15,"-1",2.00000000e+01,4.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"3号主海水泵出口压力",,"3号主海水泵出口压力",,"1209"
678,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,3,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"3",0,678,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1#发电机组主开关合闸",,"1#发电机组主开关合闸",,"2103"
679,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,4,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,679,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1#发电机组综合故障",,"1#发电机组综合故障",,"2104"
680,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,5,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,680,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1#发电机主开关合闸失败",,"1#发电机主开关合闸失败",,"2105"
681,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,6,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,681,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1#发电机主开关故障脱扣",,"1#发电机主开关故障脱扣",,"2106"
682,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,7,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,682,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1#发电机一类故障",,"1#发电机一类故障",,"2107"
683,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,8,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,683,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1#发电机二类故障",,"1#发电机二类故障",,"2108"
684,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,9,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,684,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2#发电机运行状态",,"2#发电机运行状态",,"2109"
685,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,10,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,685,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2#发电机柴油机运行状态",,"2#发电机柴油机运行状态",,"2110"
686,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,11,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"3",0,686,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2#发电机组合闸",,"2#发电机组合闸",,"2111"
687,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,12,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,687,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2#发电机组综合故障",,"2#发电机组综合故障",,"2112"
744,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,5,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,744,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机舱风机正转运行",,"2号主机舱风机正转运行",,"2169"
745,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,6,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,745,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机舱风机反转运行",,"2号主机舱风机反转运行",,"2170"
746,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,7,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,746,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主海水冷却泵运行",,"2号主海水冷却泵运行",,"2171"
747,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,8,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,747,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机燃油备用泵运行",,"2号主机燃油备用泵运行",,"2172"
748,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,9,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"5",0,748,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号齿轮箱滑油备用泵兼预供泵运行",,"2齿轮箱滑油备泵兼预供泵",,"2173"
749,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,10,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,749,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号齿轮箱工作油泵运行",,"2号齿轮箱工作油泵运行",,"2174"
750,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,11,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"5",0,750,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机滑油备用泵兼预供泵运行",,"2主机滑油备泵兼预供泵",,"2175"
751,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,12,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,751,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"3号主海水冷却泵运行",,"3号主海水冷却泵运行",,"2176"
752,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,13,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"0",1,752,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主推辅助设备海水冷却泵故障",,"2主推辅助设备海水冷却泵",,"2177"
753,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,14,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"0",1,753,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主机高温淡水备用泵故障",,"2主机高温淡水备用泵故障",,"2178"
754,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,15,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"0",1,754,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主机低温淡水备用泵故障",,"2主机低温淡水备用泵故障",,"2179"
755,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,16,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,755,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"消防总用泵故障",,"消防总用泵故障",,"2180"
756,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,17,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,756,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主机舱风机故障",,"2号主机舱风机故障",,"2181"
757,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,18,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,757,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主海水冷却泵故障",,"2号主海水冷却泵故障",,"2182"
758,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,19,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,758,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主机燃油备用泵故障",,"2号主机燃油备用泵故障",,"2183"
759,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,20,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"0",1,759,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号齿轮箱滑油备用泵兼预供泵故障",,"2齿轮箱滑油备泵兼预供泵",,"2184"
760,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,21,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,760,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号齿轮箱工作油泵故障",,"2号齿轮箱工作油泵故障",,"2185"
761,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,22,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"0",1,761,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主机滑油备用泵兼预供泵故障",,"2主机滑油备泵兼预供泵故",,"2186"
762,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,23,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"0",1,762,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"3号主海水冷却泵故障",,"3号主海水冷却泵故障",,"2187"
763,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,24,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"3",0,763,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机高温淡水备用泵自动起动",,"2主机高温淡水备泵自起动",,"2188"
764,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,25,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"3",0,764,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机低温淡水备用泵自动起动",,"2主机低温淡水备泵自起动",,"2189"
765,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,26,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"3",0,765,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机燃油备用泵自动起动",,"2号主机燃油备用泵自起动",,"2190"
766,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,27,"-1",1.00000000e+00,0.00000000e+00,1,64,0,,,,0,0.00000000e+00,1,"3",0,766,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主机滑油备用泵兼预供泵自动起动",,"2主机滑油备兼预供泵自起",,"2191"
767,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",11,28,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"3",0,767,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主海水冷却泵自动起动",,"2号主海水冷却泵自动起动",,"2192"
768,0,0,0,0,0,"4-20mA输入",0.00000000e+00,3.00000000e+02,"rpm",,,0.00000000e+00,0.00000000e+00,"1","-1","-1",,,,,,,1,1,"1#分站",1,"HT-0301 模拟量输入模块",4,5,"-1",2.00000000e+01,4.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左轴系艉轴转速",,"左轴系艉轴转速",,"809"
769,0,0,0,0,0,"4-20mA输入",-5.00000000e+01,1.00000000e+02,"%",,,0.00000000e+00,0.00000000e+00,"1","-1","-1",,,,,,,1,1,"1#分站",1,"HT-0301 模拟量输入模块",4,6,"-1",2.00000000e+01,4.00000000e+00,1,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左轴系CPP螺距",,"左轴系CPP螺距",,"810"
770,0,0,0,0,0,"4-20mA输入",0.00000000e+00,3.00000000e+02,"rpm",,,0.00000000e+00,0.00000000e+00,"1","-1","-1",,,,,,,1,1,"1#分站",1,"HT-0301 模拟量输入模块",4,7,"-1",2.00000000e+01,4.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"右轴系艉轴转速",,"右轴系艉轴转速",,"909"
